resolution,Well_ID,grid_cell,n_wells_in_cell,rank,mc_kge,mc_r2,mc_rmse,mc_mae,mc_nse,mc_r,idw_kge,idw_r2,idw_rmse,idw_mae
0.1,415926111571302,1357,3,10,-2.2348491427922856,-34.58049395321848,4.532726143965284,3.707998958757751,-34.58049395321848,-0.17121950330267882,-2.4905504377513665,-36.4765755693196,4.651932929147252,3.8656373447868413
0.1,414721111590001,1285,2,10,0.6491292660420087,-653.5346562949181,36.04161147004945,36.02091418057581,-653.5346562949181,0.6668920174990155,0.667991168650736,-653.4860830901479,36.04027411607,36.020913003810485
0.1,415926111571301,1357,3,10,-1.9399796007388028,-14.429390103403016,3.1137038493942195,2.5668563568189473,-14.429390103403016,0.008639022859012583,-2.2169885935287934,-16.52217337014754,3.318156842303246,2.7215869555909524
0.1,415638111493601,1323,2,10,-1.282192501669758,-1460.200915332811,64.59355503688755,64.35602296888004,-1460.200915332811,-0.7660062549251756,-1.3896623547277875,-1461.3363509266644,64.61864658268459,64.35601844364982
0.1,403627111495702,855,5,10,0.13402882941670502,-523.5597658337857,79.39171499780275,79.32598660395473,-523.5597658337857,0.36578998310300087,0.27679488872643154,-523.4339044506639,79.38218991489997,79.32598784978899
0.1,415506112030201,1320,1,10,0.19036495258656883,-36582.991491800734,446.4248603065529,446.4205241724364,-36582.991491800734,0.6908409990356278,0.18433606375301737,-36583.00445713325,446.4249394128233,446.42052398132677
0.1,413840111552601,1214,1,10,-0.7430734168673578,-831.302746846059,52.085686425779656,52.03065821221967,-831.302746846059,-0.6494668602674277,-0.6889911130119994,-831.3236981244678,52.0863419894277,52.03065886455057
0.1,414134111544701,1250,6,10,0.094657612348796,-153.56284494796554,23.614942828904088,23.55288278680323,-153.56284494796554,0.630577033198818,0.10587614622718133,-153.5520986228665,23.61412187395815,23.552882956226362
0.1,413609111495701,1215,2,10,-0.921026725359396,-3581.386116433942,49.425608647475656,49.374704153718696,-3581.386116433942,0.22156083896890608,-1.44410521558724,-3584.33726489733,49.44596271826992,49.37469966019179
0.1,403002112123201,815,4,10,-1.6018957287200442,-1171.0303551211005,59.40509690205742,59.212044169217656,-1171.0303551211005,0.8819936983577792,-1.7723344532986705,-1172.0994398088367,59.43218434186258,59.212055845229116
0.1,414857111495801,1287,1,10,0.09817410079481859,-15.581287946442771,14.32940811392739,13.974242795598087,-15.581287946442771,0.6859296904106029,0.10684533053190748,-15.571402446820986,14.325135994713463,13.97424267832653
0.2,415703112514501,332,6,10,0.04845385566959137,-32.20073699450132,28.824974785811598,27.86985787374564,-32.20073699450132,0.0586944567012502,0.05251646980047753,-32.2419203171609,28.842846984450563,27.869872696572376
0.2,414236112101201,317,7,10,0.6791514193442663,-110.37933994189214,14.310216503171846,14.268771836269345,-110.37933994189214,0.6791938502463022,0.6936682551513901,-110.38178523682402,14.310373590239548,14.268770244737567
0.2,411348112013601,264,12,10,0.1590248226299018,-8.44475582704951,15.500204840105805,14.867971815038926,-8.44475582704951,0.6044342778407322,0.18624669156756501,-8.42625654335401,15.485017404923761,14.867969435462804
0.2,411544111461001,283,3,10,0.4766333519872321,-0.006767593266979732,3.7478810307609445,3.1510877409531903,-0.006767593266979732,0.741256133116799,0.5014746559790939,0.0012868472898012184,3.7328588427580396,3.13918522529676
