pct_missing,rep,status,n_removed,n_remaining,n_scored,mae,rmse,r,r2,kge,nse
10,8,ok,20,182,20.0,2.205799018804919,3.5581305283746616,0.7855569436046398,0.6142296782194034,0.7318980313278962,0.6142296782194041
10,9,ok,20,182,20.0,2.385617492786787,3.1105340470049296,0.8281506314609438,0.6719320321862046,0.7968282989977244,0.6719320321862052
10,10,ok,20,182,20.0,1.7750407847026053,2.1994363259125875,0.9500579130920896,0.8933172140757898,0.8669824112928632,0.8933172140757899
10,11,ok,20,182,20.0,1.6029506970726288,1.938928145373433,0.8845886227372652,0.7114964851160681,0.8273138882325358,0.7114964851160693
10,12,ok,20,182,20.0,2.2161698897144104,3.1449255066733586,0.9222758035583175,0.7753068433778985,0.772187348534284,0.7753068433778987
10,13,ok,20,182,20.0,2.140665535576818,2.6108819323379264,0.9341202729162942,0.8432001910358586,0.9194850559574639,0.8432001910358587
10,14,ok,20,182,20.0,1.7772442311480972,2.3528176430015324,0.9197572490857929,0.8319458112738857,0.9167533573340814,0.8319458112738859
10,15,ok,20,182,20.0,2.308371646957903,3.748246482378202,0.7516172643481959,0.4924068199709851,0.7516157072630323,0.49240681997098623
10,16,ok,20,182,20.0,2.0659565491558625,2.5329295177006004,0.875273287784807,0.7615802842553249,0.8363321293723002,0.7615802842553253
10,17,ok,20,182,20.0,2.4405147719898195,3.214868570365631,0.8187379588943847,0.6639479412830799,0.7903097897856411,0.6639479412830804
10,18,ok,20,182,20.0,1.8069870080112196,2.2203495608590353,0.945113904688165,0.8751981182272264,0.8031150525710997,0.8751981182272265
10,19,ok,20,182,20.0,1.9842714225067084,2.501560986523255,0.8859335692559137,0.7339169939119343,0.8530278886969211,0.7339169939119349
10,20,ok,20,182,20.0,2.4496000188559264,3.096838489972331,0.827594217391084,0.6479894701060538,0.7821508523495535,0.6479894701060545
10,21,ok,20,182,20.0,1.4721155753826678,1.896420351449238,0.9423869568458517,0.8672316328243497,0.9191879786184612,0.8672316328243499
10,22,ok,20,182,20.0,1.6065213402468999,2.140669289624861,0.9398867344050261,0.8822992617101207,0.9316959721867529,0.8822992617101209
10,23,ok,20,182,20.0,2.311368425394767,2.9713871367856988,0.8670585753554334,0.7303257971812096,0.866795151044307,0.73032579718121
10,24,ok,20,182,20.0,2.674628608018929,3.8891357148434387,0.7438466949932668,0.5386607143952787,0.7035963942893919,0.5386607143952793
10,25,ok,20,182,20.0,2.273745685214635,2.777636314521739,0.9105971226122548,0.798354272410309,0.7864837756745526,0.7983542724103092
10,26,ok,20,182,20.0,1.7118521513889846,2.264520612263763,0.9455237333551186,0.8886282837082722,0.8686963024705984,0.8886282837082723
10,27,ok,20,182,20.0,3.176752487820204,4.459796798183311,0.6887133509451165,0.42373518489691675,0.5782707476969573,0.42373518489691764
10,28,ok,20,182,20.0,2.7006413594599055,3.7839839574663547,0.7539328778025568,0.45862136596845493,0.7445092041022815,0.45862136596845615
10,29,ok,20,182,20.0,2.0448574694652053,3.1997709632134157,0.8396103145849798,0.68485846099042,0.8294594257504522,0.6848584609904205
10,30,ok,20,182,20.0,1.80948988774594,2.2261686696435956,0.9284138503386531,0.828965967671242,0.9120393125181007,0.8289659676712422
10,31,ok,20,182,20.0,2.315871703558378,2.9849532495206965,0.8947834545279084,0.7911848391580052,0.7718948593085175,0.7911848391580055
10,32,ok,20,182,20.0,1.9278401070524978,2.4264621702387905,0.905973176985533,0.8115316300478927,0.9059507014612207,0.8115316300478931
10,33,ok,20,182,20.0,2.303149239090544,2.760227921641895,0.9025561905113777,0.7646680541090598,0.8673861666494929,0.7646680541090601
10,34,ok,20,182,20.0,1.5515779957171163,2.0201807072863907,0.95216504370275,0.878782414350519,0.9508126931530755,0.8787824143505192
10,35,ok,20,182,20.0,1.6132675814597406,2.2092435003343334,0.9278059189259587,0.858522433048379,0.8685134721727776,0.8585224330483793
10,36,ok,20,182,20.0,2.4253296913012945,3.267093622336093,0.8249643600948613,0.6595967036833466,0.7864881604287005,0.659596703683347
